pair_id,decision
7f1393da9f29d49a05c1080148ae5a48 - d6efd6694e0a347709e6950c1bdc5ba6,❌ Différent
d6efd6694e0a347709e6950c1bdc5ba6 - 7f1393da9f29d49a05c1080148ae5a48,❌ Différent
8cee22276bacb0bc69c8756c67ab5295 - 8706453f48720e43bef5c9bce343a656,❌ Différent
8706453f48720e43bef5c9bce343a656 - 8cee22276bacb0bc69c8756c67ab5295,❌ Différent
c4adb8df0def2ef67cb8903d287012c8 - 4735cfdae6fe94cc5383bb35c686b3f3,❌ Différent
4735cfdae6fe94cc5383bb35c686b3f3 - c4adb8df0def2ef67cb8903d287012c8,❌ Différent
8644d15033c6616a76b6dc22c55be8b3 - 4ddf6718ebe4fc44533bd37de154d55d,🤔 Incertain
4ddf6718ebe4fc44533bd37de154d55d - 8644d15033c6616a76b6dc22c55be8b3,🤔 Incertain
36f36d3477181980c6841af94b85aaec - e68f72578cbf63b4b5aabdc82c7cd1c0,✅ Même PDV
e68f72578cbf63b4b5aabdc82c7cd1c0 - 36f36d3477181980c6841af94b85aaec,✅ Même PDV
0f077a3c2c7e9fe29fd825378c41dfea - 1f3ef1f21471302b5a95232f8e092efd,❌ Différent
1f3ef1f21471302b5a95232f8e092efd - 0f077a3c2c7e9fe29fd825378c41dfea,❌ Différent
f7e1f7f545125587aa94ee7d7c324919 - 1c9276ec4b4929b66e1bfd10a9ba48ca,❌ Différent
1c9276ec4b4929b66e1bfd10a9ba48ca - f7e1f7f545125587aa94ee7d7c324919,❌ Différent
7fd519d93c97dc6884e0e115de590cd4 - 7607b662eefe538060086bb335c9b1d1,❌ Différent
7607b662eefe538060086bb335c9b1d1 - 7fd519d93c97dc6884e0e115de590cd4,❌ Différent
994f6d2da9f2ef9a1bb98779d3a3735a - 47e0669a4a8e52a39ab0d28f0761f136,❌ Différent
47e0669a4a8e52a39ab0d28f0761f136 - 994f6d2da9f2ef9a1bb98779d3a3735a,❌ Différent
a8f3881adebbc8b7ef4e84c39e8caece - 5387ccc67574bdeba0fe2ea21bc0052d,🤔 Incertain
5387ccc67574bdeba0fe2ea21bc0052d - a8f3881adebbc8b7ef4e84c39e8caece,❌ Différent
418eb1719e05768ce792006b506b69b7 - 62758cde47c48fa407c2ea07e9de67dc,❌ Différent
62758cde47c48fa407c2ea07e9de67dc - 418eb1719e05768ce792006b506b69b7,❌ Différent
3c12c555a6f1e1816ad9d5bf75ec623d - 1c628d3dc92aa86632c986c0f4fee488,❌ Différent
1c628d3dc92aa86632c986c0f4fee488 - 3c12c555a6f1e1816ad9d5bf75ec623d,❌ Différent
03d6e651bf458f9b8014e5597fdb43ab - 9b901ba401ff24a05915277c5d6aeb9c,❌ Différent
9b901ba401ff24a05915277c5d6aeb9c - 03d6e651bf458f9b8014e5597fdb43ab,🤔 Incertain
834bf0cc15fb19ed508f5c786701e5cc - 0d56edfee5c445612cd028c88823ffd3,✅ Même PDV
0d56edfee5c445612cd028c88823ffd3 - 834bf0cc15fb19ed508f5c786701e5cc,✅ Même PDV
7466fda86c498d604975875eb30a2ea9 - b3afdff429223e90e04633822bd2a3af,🤔 Incertain
b3afdff429223e90e04633822bd2a3af - 7466fda86c498d604975875eb30a2ea9,🤔 Incertain
b157197e6e2f56394559251ef5ce6148 - d5e6017870c7a684ac579e7f3b7d0bed,✅ Même PDV
d5e6017870c7a684ac579e7f3b7d0bed - b157197e6e2f56394559251ef5ce6148,✅ Même PDV
e0b27cd003248a3bddf4cf27624d39f3 - 8cb036e430085b3b89635d5e64c50079,❌ Différent
8cb036e430085b3b89635d5e64c50079 - e0b27cd003248a3bddf4cf27624d39f3,❌ Différent
2def1bc4c2cdce5861ca06cf39c31e83 - 56cb3dd2f563e7357eababb856e7e1cb,❌ Différent
56cb3dd2f563e7357eababb856e7e1cb - 2def1bc4c2cdce5861ca06cf39c31e83,❌ Différent
2fd93e76ecc2ba5c14d70eac07f6553c - 9872be5ac9847a2c04c8b7d35577e4a6,❌ Différent
9872be5ac9847a2c04c8b7d35577e4a6 - 2fd93e76ecc2ba5c14d70eac07f6553c,❌ Différent
fab16700321f5097a24948b1eb4880e0 - 7b0cb4e5b1d3a708d043d5326691a9e7,❌ Différent
7b0cb4e5b1d3a708d043d5326691a9e7 - fab16700321f5097a24948b1eb4880e0,❌ Différent
96e5b6655ab512d34f218eb8b0843e4b - a8380ee6fdca1f0a674671b06534b314,❌ Différent
a8380ee6fdca1f0a674671b06534b314 - 96e5b6655ab512d34f218eb8b0843e4b,❌ Différent
21047e423bb2c04d7302a021913e5961 - f11307bfb472d1d8530ef237a748fc46,❌ Différent
f11307bfb472d1d8530ef237a748fc46 - 21047e423bb2c04d7302a021913e5961,❌ Différent
38477f48832879b0cd46473414eacd34 - cd50699c52ee9f265c3f270aae6cb008,❌ Différent
cd50699c52ee9f265c3f270aae6cb008 - 38477f48832879b0cd46473414eacd34,❌ Différent
45027ece34630cbf5141e83cc9495748 - 824a5ce2466f075d55a32fe1af3f9c3a,❌ Différent
824a5ce2466f075d55a32fe1af3f9c3a - 45027ece34630cbf5141e83cc9495748,❌ Différent
aa9ee1e15ed725edb2b53803a63df1cd - 3b6e664b7c59fa758ebc028ed5029ab3,🤔 Incertain
